country,role,level,min_eur,max_eur,range_eur
Cyprus,QA Engineer,co,44,51,7
Cyprus,QA Manager,sme,56,68,12
Cyprus,QA Manager,st,62,72,10
Cyprus,QA Manager,co,63,78,15
Cyprus,Salesforce Developer,sme,34,42,8
Cyprus,Salesforce Developer,st,37,46,9
Cyprus,Salesforce Developer,co,42,49,7
Cyprus,Scrum Master,sme,40,48,8
Cyprus,Scrum Master,st,41,52,11
Cyprus,Scrum Master,co,50,58,8
Cyprus,Software Developer,sme,41,45,4
Cyprus,Software Developer,st,52,62,10
Cyprus,Software Developer,co,52,62,10
Cyprus,Software Engineer,sme,40,50,10
Cyprus,Software Engineer,st,44,60,16
Cyprus,Software Engineer,co,53,72,19
Cyprus,Software Engineering Manager,sme,50,55,5
Cyprus,Software Engineering Manager,st,61,69,8
Cyprus,Software Engineering Manager,co,83,101,18
Cyprus,Solutions Analyst,sme,41,50,9
Cyprus,Solutions Analyst,st,45,50,5
Cyprus,Solutions Analyst,co,44,51,7
Cyprus,Systems Architect,sme,52,60,8
Cyprus,Systems Architect,st,50,58,8
Cyprus,Systems Architect,co,82,91,9
Cyprus,Systems Engineer,sme,52,60,8
Cyprus,Systems Engineer,st,52,64,12
Cyprus,Systems Engineer,co,51,60,9
Cyprus,Test Automation Engineer,sme,31,41,10
Cyprus,Test Automation Engineer,st,37,46,9
Cyprus,Test Automation Engineer,co,43,60,17
Czech Republic,Applications Developer,sme,31,36,5
Czech Republic,Applications Developer,st,44,51,7
Czech Republic,Applications Developer,co,41,50,9
Czech Republic,Automation Engineer,sme,28,36,8
Czech Republic,Automation Engineer,st,39,46,7
Czech Republic,Automation Engineer,co,40,48,8
Czech Republic,Backend Developer,sme,26,33,7
Czech Republic,Backend Developer,st,33,44,11
Czech Republic,Backend Developer,co,41,50,9
Czech Republic,BI Analyst,sme,27,32,5
Czech Republic,BI Analyst,st,29,34,5
Czech Republic,BI Analyst,co,29,34,5
Czech Republic,BI Developer,sme,26,33,7
Czech Republic,BI Developer,st,35,40,5
Czech Republic,BI Developer,co,36,41,5
Czech Republic,BI Manager,sme,47,55,8
Czech Republic,BI Manager,st,48,59,11
Czech Republic,BI Manager,co,59,69,10
Czech Republic,Cyber Security Analyst,sme,31,37,6
Czech Republic,Cyber Security Analyst,st,33,42,9
Czech Republic,Cyber Security Analyst,co,34,44,10
Czech Republic,Data Analyst,sme,36,43,7
Czech Republic,Data Analyst,st,39,46,7
Czech Republic,Data Analyst,co,39,47,8
Czech Republic,Data Engineer,sme,34,45,11
Czech Republic,Data Engineer,st,42,55,13
Czech Republic,Data Engineer,co,49,64,15
Czech Republic,Devops Engineer,sme,29,34,5
Czech Republic,Devops Engineer,st,36,46,10
Czech Republic,Devops Engineer,co,43,55,12
Czech Republic,Frontend Developer,sme,29,35,6
Czech Republic,Frontend Developer,st,36,43,7
Czech Republic,Frontend Developer,co,42,49,7
Czech Republic,Full Stack Developer,sme,33,44,11
Czech Republic,Full Stack Developer,st,45,60,15
Czech Republic,Full Stack Developer,co,47,63,16
Czech Republic,Machine Learning Engineer,sme,33,41,8
Czech Republic,Machine Learning Engineer,st,47,63,16
Czech Republic,Machine Learning Engineer,co,53,67,14
Czech Republic,Network Architect,sme,30,38,8
Czech Republic,Network Architect,st,33,40,7
Czech Republic,Network Architect,co,40,52,12
Czech Republic,Python Developer,sme,22,31,9
Czech Republic,Python Developer,st,31,40,9
Czech Republic,Python Developer,co,33,42,9
Czech Republic,QA Analyst,sme,35,38,3
Czech Republic,QA Analyst,st,36,42,6
Czech Republic,QA Analyst,co,36,46,10
Czech Republic,QA Engineer,sme,24,34,10
Czech Republic,QA Engineer,st,32,38,6
Czech Republic,QA Engineer,co,33,39,6
Czech Republic,QA Manager,sme,51,56,5
Czech Republic,QA Manager,st,57,61,4
Czech Republic,QA Manager,co,59,62,3
Czech Republic,Salesforce Developer,sme,24,28,4
Czech Republic,Salesforce Developer,st,22,28,6
Czech Republic,Salesforce Developer,co,28,34,6
Czech Republic,Scrum Master,sme,38,46,8
Czech Republic,Scrum Master,st,41,50,9
Czech Republic,Scrum Master,co,51,60,9
Czech Republic,Software Developer,sme,28,32,4
Czech Republic,Software Developer,st,41,46,5
Czech Republic,Software Developer,co,45,47,2
Czech Republic,Software Engineer,sme,27,37,10
Czech Republic,Software Engineer,st,33,45,12
Czech Republic,Software Engineer,co,42,60,18
Czech Republic,Software Engineering Manager,sme,44,49,5
Czech Republic,Software Engineering Manager,st,54,60,6
Czech Republic,Software Engineering Manager,co,72,81,9
Czech Republic,Solutions Analyst,sme,29,36,7
Czech Republic,Solutions Analyst,st,29,39,10
Czech Republic,Solutions Analyst,co,30,40,10
Czech Republic,Systems Architect,sme,50,58,8
Czech Republic,Systems Architect,st,51,64,13
Czech Republic,Systems Architect,co,89,106,17
Czech Republic,Systems Engineer,sme,29,36,7
Czech Republic,Systems Engineer,st,34,42,8
Czech Republic,Systems Engineer,co,36,43,7
Czech Republic,Test Automation Engineer,sme,21,26,5
Czech Republic,Test Automation Engineer,st,23,31,8
Czech Republic,Test Automation Engineer,co,32,38,6
Denmark,Applications Developer,sme,51,55,4
Denmark,Applications Developer,st,66,73,7
Denmark,Applications Developer,co,66,74,8
Denmark,Automation Engineer,sme,53,61,8
Denmark,Automation Engineer,st,70,80,10
Denmark,Automation Engineer,co,70,83,13
Denmark,Backend Developer,sme,56,68,12
Denmark,Backend Developer,st,75,92,17
Denmark,Backend Developer,co,88,115,27
Denmark,BI Analyst,sme,53,61,8
Denmark,BI Analyst,st,61,71,10
Denmark,BI Analyst,co,63,74,11
Denmark,BI Developer,sme,50,55,5
Denmark,BI Developer,st,67,76,9
Denmark,BI Developer,co,70,79,9
Denmark,BI Manager,sme,113,124,11
Denmark,BI Manager,st,121,132,11
Denmark,BI Manager,co,156,172,16
Denmark,Cyber Security Analyst,sme,61,76,15
Denmark,Cyber Security Analyst,st,67,83,16
Denmark,Cyber Security Analyst,co,69,84,15
Denmark,Data Analyst,sme,63,72,9
Denmark,Data Analyst,st,67,77,10
Denmark,Data Analyst,co,67,78,11
Denmark,Data Engineer,sme,71,93,22
Denmark,Data Engineer,st,93,119,26
Denmark,Data Engineer,co,108,135,27
Denmark,Devops Engineer,sme,68,85,17
Denmark,Devops Engineer,st,92,113,21
Denmark,Devops Engineer,co,111,133,22
Denmark,Frontend Developer,sme,65,81,16
Denmark,Frontend Developer,st,88,106,18
Denmark,Frontend Developer,co,109,130,21
Denmark,Full Stack Developer,sme,58,74,16
Denmark,Full Stack Developer,st,84,102,18
Denmark,Full Stack Developer,co,88,107,19
Denmark,Machine Learning Engineer,sme,62,73,11
Denmark,Machine Learning Engineer,st,84,104,20
Denmark,Machine Learning Engineer,co,91,114,23
Denmark,Network Architect,sme,61,73,12
Denmark,Network Architect,st,71,83,12
Denmark,Network Architect,co,96,104,8
Denmark,Python Developer,sme,45,55,10
Denmark,Python Developer,st,61,75,14
Denmark,Python Developer,co,64,80,16
Denmark,QA Analyst,sme,59,67,8
Denmark,QA Analyst,st,64,72,8
Denmark,QA Analyst,co,65,73,8
Denmark,QA Engineer,sme,52,61,9
Denmark,QA Engineer,st,69,78,9
Denmark,QA Engineer,co,75,84,9
Denmark,QA Manager,sme,102,120,18
Denmark,QA Manager,st,115,129,14
Denmark,QA Manager,co,115,128,13
Denmark,Salesforce Developer,sme,37,48,11
Denmark,Salesforce Developer,st,41,49,8
Denmark,Salesforce Developer,co,59,65,6
Denmark,Scrum Master,sme,80,94,14
Denmark,Scrum Master,st,87,101,14
Denmark,Scrum Master,co,104,121,17
Denmark,Software Developer,sme,62,72,10
Denmark,Software Developer,st,89,105,16
Denmark,Software Developer,co,94,110,16
Denmark,Software Engineer,sme,50,67,17
Denmark,Software Engineer,st,59,78,19
Denmark,Software Engineer,co,82,106,24
Denmark,Software Engineering Manager,sme,103,125,22
Denmark,Software Engineering Manager,st,122,137,15
Denmark,Software Engineering Manager,co,156,183,27
Denmark,Solutions Analyst,sme,60,75,15
Denmark,Solutions Analyst,st,65,83,18
Denmark,Solutions Analyst,co,67,85,18
Denmark,Systems Architect,sme,87,99,12
Denmark,Systems Architect,st,91,118,27
Denmark,Systems Architect,co,161,182,21
Denmark,Systems Engineer,sme,57,66,9
Denmark,Systems Engineer,st,73,86,13
Denmark,Systems Engineer,co,77,88,11
Denmark,Test Automation Engineer,sme,40,48,8
Denmark,Test Automation Engineer,st,48,58,10
Denmark,Test Automation Engineer,co,68,77,9
Estonia,Applications Developer,sme,36,39,3
Estonia,Applications Developer,st,44,49,5
