id,title,category,company,level,salary,link,format,city/country
33153,qa engineer (manual),qa,NDA,senior,251300,https://hirehi.ru/qa/qa-engineer-manual-33153,гибрид,Москва
33152,platform engineer,devops,2ГИС,senior,331600,https://hirehi.ru/devops/platform-engineer-33152,удалённо,Не указано
33151,developer c++,development,Касперский,middle,224700,https://hirehi.ru/development/developer-c-33151,офис,Москва
33150,руководитель продукта,management,NDA,lead,508000,https://hirehi.ru/management/rukovoditel-produkta-33150,офис,Лимассол
33148,автоматизатор тестирования,qa,Usetech,lead,280000,https://hirehi.ru/qa/avtomatizator-testirovaniya-33148,удалённо,РФ
33147,Frontend Developer,development,Tilda Publishing,head,400000,https://hirehi.ru/development/frontend-developer-33147,гибрид,Москва
33146,Business Analyst,analytics,Innovative People,senior,258500,https://hirehi.ru/analytics/business-analyst-33146,удалённо,Не указано
33145,системный аналитик,analytics,NDA,middle,140400,https://hirehi.ru/analytics/sistemnyi-analitik-33145,офис,Минск
33144,ai engineer,development,Сбер,middle,249400,https://hirehi.ru/development/ai-engineer-33144,гибрид,Москва
33143,DevOps инженер,devops,Сбер,middle,256600,https://hirehi.ru/devops/devops-inzhener-33143,офис,Москва
33142,project manager,management,LeverX,middle,313400,https://hirehi.ru/management/project-manager-33142,удалённо,Не указано
33141,Frontend разработчик,development,Tilda Publishing,middle,250000,https://hirehi.ru/development/frontend-razrabotchik-33141,удалённо,Не указано
33140,qa инженер (auto),qa,Ozon,middle,202400,https://hirehi.ru/qa/qa-inzhener-auto-33140,удалённо,Не указано
33139,аналитик данных,analytics,Ozon,middle,204300,https://hirehi.ru/analytics/analitik-dannyh-33139,офис,Москва
33138,go developer,development,Ozon,middle,271200,https://hirehi.ru/development/go-developer-33138,удалённо,Не указано
33137,project manager,management,Topface Media,junior,65800,https://hirehi.ru/management/project-manager-33137,удалённо,Не указано
33136,иллюстратор,design,GreenPixel,middle,184400,https://hirehi.ru/design/illyustrator-33136,удалённо,Не указано
